regime,sensitivity,policy,total_tco_v1,total_tco_v2,effective_output,effective_fulfillment_rate,avg_grade_per_load,failure_count,cm_count,downtime_hours,pm_visits,shovel_a_share,shovel_b_share,shovel_c_share,crusher1_share,crusher2_share,is_pareto_efficient_v1_output,is_pareto_efficient_v2_failure_output,rank_tco_v1,rank_tco_v2,rank_effective_output,rank_failure_downtime,route_r_a1_share,route_r_a2_share,route_r_b1_share,route_r_b2_share,route_r_c1_share,route_r_c2_share,classification_base_note
heterogeneous_condition,base,H3,5333.895632,6053.910032,5191200.0,0.980952,0.784762,0.0,0.0,2583.1,736.6,0.27619,0.295238,0.428571,0.885714,0.114286,1,0,7,2,4,6,0.27619,0.0,0.295238,0.0,0.314286,0.114286,dominated_v2_failure_output
heterogeneous_condition,base,H4,5504.791479,5774.796879,5254200.0,0.992857,0.794286,0.0,0.0,2659.5,757.9,0.3,0.342857,0.357143,0.4,0.6,1,1,8,1,3,7,0.128571,0.171429,0.128571,0.214286,0.142857,0.214286,non_dominated_v2_failure_output
heterogeneous_condition,base,H1_original,4086.761103,7412.67762,4826381.0,0.912015,0.729612,0.0,0.0,1977.4,567.7,0.000878,0.29436,0.704762,0.503111,0.496889,0,0,6,8,10,5,0.000878,0.0,0.187947,0.106413,0.314286,0.390476,dominated_v2_failure_output
heterogeneous_condition,base,H1_value_guard,4080.896911,7393.763167,4828208.0,0.91236,0.729888,0.0,0.0,1976.8,566.0,0.00182,0.295238,0.702942,0.611344,0.388656,0,0,4,6,8,3,0.00182,0.0,0.295238,0.0,0.314286,0.388656,dominated_v2_failure_output
heterogeneous_condition,base,H2_original,4071.978243,7380.794418,4828775.0,0.912467,0.729974,0.0,0.0,1970.7,564.1,0.002249,0.295238,0.702513,0.611772,0.388228,0,0,3,5,7,2,0.002249,0.0,0.295238,0.0,0.314286,0.388228,dominated_v2_failure_output
heterogeneous_condition,base,H2_value_guard,4068.84748,7368.263467,4830091.0,0.912716,0.730173,0.1,0.1,1968.4,563.6,0.003243,0.295238,0.701519,0.612767,0.387233,1,0,1,3,5,8,0.003243,0.0,0.295238,0.0,0.314286,0.387233,dominated_v2_failure_output
heterogeneous_condition,high,H0,9769.842046,9769.842046,5433967.0,1.026827,0.821514,45.2,45.2,4805.9,394.0,0.439012,0.337111,0.223877,0.554956,0.445044,1,1,10,4,1,10,0.219675,0.219337,0.218897,0.118214,0.116383,0.107494,non_dominated_v2_failure_output
heterogeneous_condition,high,H_TIME,9262.936386,9262.936386,5433662.5,1.026769,0.821428,29.8,29.8,4570.6,388.0,0.438822,0.33664,0.224538,0.555945,0.444055,1,1,9,3,2,9,0.219321,0.219501,0.219935,0.116706,0.11669,0.107848,non_dominated_v2_failure_output
heterogeneous_condition,high,H1,4086.761103,10738.594137,4826381.0,0.912015,0.729612,0.0,0.0,1977.4,567.7,0.000878,0.29436,0.704762,0.503111,0.496889,0,0,5,9,9,4,0.000878,0.0,0.187947,0.106413,0.314286,0.390476,dominated_v2_failure_output
heterogeneous_condition,high,H2,4071.978243,10689.610593,4828775.0,0.912467,0.729974,0.0,0.0,1970.7,564.1,0.002249,0.295238,0.702513,0.611772,0.388228,0,0,2,6,6,1,0.002249,0.0,0.295238,0.0,0.314286,0.388228,dominated_v2_failure_output
heterogeneous_condition,high,H3,5333.895632,6773.924432,5191200.0,0.980952,0.784762,0.0,0.0,2583.1,736.6,0.27619,0.295238,0.428571,0.885714,0.114286,1,0,7,2,4,6,0.27619,0.0,0.295238,0.0,0.314286,0.114286,dominated_v2_failure_output
heterogeneous_condition,high,H4,5504.791479,6044.802279,5254200.0,0.992857,0.794286,0.0,0.0,2659.5,757.9,0.3,0.342857,0.357143,0.4,0.6,1,1,8,1,3,7,0.128571,0.171429,0.128571,0.214286,0.142857,0.214286,non_dominated_v2_failure_output
heterogeneous_condition,high,H1_original,4086.761103,10738.594137,4826381.0,0.912015,0.729612,0.0,0.0,1977.4,567.7,0.000878,0.29436,0.704762,0.503111,0.496889,0,0,6,10,10,5,0.000878,0.0,0.187947,0.106413,0.314286,0.390476,dominated_v2_failure_output
heterogeneous_condition,high,H1_value_guard,4080.896911,10706.629423,4828208.0,0.91236,0.729888,0.0,0.0,1976.8,566.0,0.00182,0.295238,0.702942,0.611344,0.388656,0,0,4,8,8,3,0.00182,0.0,0.295238,0.0,0.314286,0.388656,dominated_v2_failure_output
heterogeneous_condition,high,H2_original,4071.978243,10689.610593,4828775.0,0.912467,0.729974,0.0,0.0,1970.7,564.1,0.002249,0.295238,0.702513,0.611772,0.388228,0,0,3,7,7,2,0.002249,0.0,0.295238,0.0,0.314286,0.388228,dominated_v2_failure_output
heterogeneous_condition,high,H2_value_guard,4068.84748,10667.679453,4830091.0,0.912716,0.730173,0.1,0.1,1968.4,563.6,0.003243,0.295238,0.701519,0.612767,0.387233,1,0,1,5,5,8,0.003243,0.0,0.295238,0.0,0.314286,0.387233,dominated_v2_failure_output
high_stress,low,H0,11011.109586,11011.109586,5433218.0,1.026685,0.821422,82.2,82.2,5226.6,360.0,0.438272,0.337676,0.224052,0.554928,0.445072,1,1,10,10,1,10,0.219401,0.218872,0.219104,0.118572,0.116423,0.107629,non_dominated_v2_failure_output
high_stress,low,H_TIME,10582.901833,10582.901833,5433001.0,1.026644,0.82135,71.4,71.4,5033.6,356.0,0.438257,0.336988,0.224756,0.555685,0.444315,1,1,9,9,2,9,0.21911,0.219147,0.219702,0.117285,0.116873,0.107883,non_dominated_v2_failure_output
high_stress,low,H1,6115.401712,7778.364632,4826314.5,0.912002,0.729601,0.0,0.0,2955.1,752.5,0.000778,0.29446,0.704762,0.501132,0.498868,0,0,4,4,9,3,0.000778,0.0,0.186069,0.108392,0.314286,0.390476,dominated_v2_failure_output
high_stress,low,H2,6100.544958,7759.695836,4827382.0,0.912204,0.729763,0.0,0.0,2947.5,749.7,0.001196,0.295238,0.703566,0.61072,0.38928,1,1,1,2,6,1,0.001196,0.0,0.295238,0.0,0.314286,0.38928,non_dominated_v2_failure_output
high_stress,low,H3,7467.490186,7827.446986,5191200.0,0.980952,0.784762,0.0,0.0,3607.5,873.0,0.27619,0.295238,0.428571,0.885714,0.114286,1,1,7,7,4,6,0.27619,0.0,0.295238,0.0,0.314286,0.114286,non_dominated_v2_failure_output
high_stress,low,H4,7694.039721,7829.086014,5254182.5,0.992854,0.794283,0.4,0.4,3709.3,867.5,0.299989,0.342852,0.357159,0.400016,0.599984,1,1,8,8,3,8,0.128566,0.171423,0.128571,0.21428,0.142878,0.21428,non_dominated_v2_failure_output
high_stress,low,H1_original,6115.401712,7778.364632,4826314.5,0.912002,0.729601,0.0,0.0,2955.1,752.5,0.000778,0.29446,0.704762,0.501132,0.498868,0,0,5,5,10,4,0.000778,0.0,0.186069,0.108392,0.314286,0.390476,dominated_v2_failure_output
high_stress,low,H1_value_guard,6131.813159,7792.1139,4827060.0,0.912143,0.729714,0.0,0.0,2963.4,754.3,0.000952,0.295238,0.70381,0.610476,0.389524,0,0,6,6,8,5,0.000952,0.0,0.295238,0.0,0.314286,0.389524,dominated_v2_failure_output
high_stress,low,H2_original,6100.544958,7759.695836,4827382.0,0.912204,0.729763,0.0,0.0,2947.5,749.7,0.001196,0.295238,0.703566,0.61072,0.38928,1,1,2,3,7,2,0.001196,0.0,0.295238,0.0,0.314286,0.38928,non_dominated_v2_failure_output
high_stress,low,H2_value_guard,6106.399814,7758.876493,4829251.0,0.912557,0.730045,0.1,0.1,2950.6,750.9,0.002608,0.295238,0.702153,0.612132,0.387868,1,1,3,1,5,7,0.002608,0.0,0.295238,0.0,0.314286,0.387868,non_dominated_v2_failure_output
high_stress,base,H0,11011.109586,11011.109586,5433218.0,1.026685,0.821422,82.2,82.2,5226.6,360.0,0.438272,0.337676,0.224052,0.554928,0.445072,1,1,10,10,1,10,0.219401,0.218872,0.219104,0.118572,0.116423,0.107629,non_dominated_v2_failure_output
high_stress,base,H_TIME,10582.901833,10582.901833,5433001.0,1.026644,0.82135,71.4,71.4,5033.6,356.0,0.438257,0.336988,0.224756,0.555685,0.444315,1,1,9,9,2,9,0.21911,0.219147,0.219702,0.117285,0.116873,0.107883,non_dominated_v2_failure_output
high_stress,base,H1,6115.401712,9441.793238,4826314.5,0.912002,0.729601,0.0,0.0,2955.1,752.5,0.000778,0.29446,0.704762,0.501132,0.498868,0,0,4,6,9,3,0.000778,0.0,0.186069,0.108392,0.314286,0.390476,dominated_v2_failure_output
high_stress,base,H2,6100.544958,9419.311332,4827382.0,0.912204,0.729763,0.0,0.0,2947.5,749.7,0.001196,0.295238,0.703566,0.61072,0.38928,1,0,1,4,6,1,0.001196,0.0,0.295238,0.0,0.314286,0.38928,dominated_v2_failure_output
high_stress,base,H3,7467.490186,8187.504586,5191200.0,0.980952,0.784762,0.0,0.0,3607.5,873.0,0.27619,0.295238,0.428571,0.885714,0.114286,1,1,7,2,4,6,0.27619,0.0,0.295238,0.0,0.314286,0.114286,non_dominated_v2_failure_output
high_stress,base,H4,7694.039721,7964.170124,5254182.5,0.992854,0.794283,0.4,0.4,3709.3,867.5,0.299989,0.342852,0.357159,0.400016,0.599984,1,1,8,1,3,8,0.128566,0.171423,0.128571,0.21428,0.142878,0.21428,non_dominated_v2_failure_output
high_stress,base,H1_original,6115.401712,9441.793238,4826314.5,0.912002,0.729601,0.0,0.0,2955.1,752.5,0.000778,0.29446,0.704762,0.501132,0.498868,0,0,5,7,10,4,0.000778,0.0,0.186069,0.108392,0.314286,0.390476,dominated_v2_failure_output
high_stress,base,H1_value_guard,6131.813159,9452.87958,4827060.0,0.912143,0.729714,0.0,0.0,2963.4,754.3,0.000952,0.295238,0.70381,0.610476,0.389524,0,0,6,8,8,5,0.000952,0.0,0.295238,0.0,0.314286,0.389524,dominated_v2_failure_output
high_stress,base,H2_original,6100.544958,9419.311332,4827382.0,0.912204,0.729763,0.0,0.0,2947.5,749.7,0.001196,0.295238,0.703566,0.61072,0.38928,1,0,2,5,7,2,0.001196,0.0,0.295238,0.0,0.314286,0.38928,dominated_v2_failure_output
high_stress,base,H2_value_guard,6106.399814,9411.815921,4829251.0,0.912557,0.730045,0.1,0.1,2950.6,750.9,0.002608,0.295238,0.702153,0.612132,0.387868,1,0,3,3,5,7,0.002608,0.0,0.295238,0.0,0.314286,0.387868,dominated_v2_failure_output
high_stress,high,H0,11011.109586,11011.109586,5433218.0,1.026685,0.821422,82.2,82.2,5226.6,360.0,0.438272,0.337676,0.224052,0.554928,0.445072,1,1,10,4,1,10,0.219401,0.218872,0.219104,0.118572,0.116423,0.107629,non_dominated_v2_failure_output
high_stress,high,H_TIME,10582.901833,10582.901833,5433001.0,1.026644,0.82135,71.4,71.4,5033.6,356.0,0.438257,0.336988,0.224756,0.555685,0.444315,1,1,9,3,2,9,0.21911,0.219147,0.219702,0.117285,0.116873,0.107883,non_dominated_v2_failure_output
high_stress,high,H1,6115.401712,12768.184765,4826314.5,0.912002,0.729601,0.0,0.0,2955.1,752.5,0.000778,0.29446,0.704762,0.501132,0.498868,0,0,4,8,9,3,0.000778,0.0,0.186069,0.108392,0.314286,0.390476,dominated_v2_failure_output
high_stress,high,H2,6100.544958,12738.077706,4827382.0,0.912204,0.729763,0.0,0.0,2947.5,749.7,0.001196,0.295238,0.703566,0.61072,0.38928,1,0,1,6,6,1,0.001196,0.0,0.295238,0.0,0.314286,0.38928,dominated_v2_failure_output
high_stress,high,H3,7467.490186,8907.518986,5191200.0,0.980952,0.784762,0.0,0.0,3607.5,873.0,0.27619,0.295238,0.428571,0.885714,0.114286,1,1,7,2,4,6,0.27619,0.0,0.295238,0.0,0.314286,0.114286,non_dominated_v2_failure_output
high_stress,high,H4,7694.039721,8234.300526,5254182.5,0.992854,0.794283,0.4,0.4,3709.3,867.5,0.299989,0.342852,0.357159,0.400016,0.599984,1,1,8,1,3,8,0.128566,0.171423,0.128571,0.21428,0.142878,0.21428,non_dominated_v2_failure_output
high_stress,high,H1_original,6115.401712,12768.184765,4826314.5,0.912002,0.729601,0.0,0.0,2955.1,752.5,0.000778,0.29446,0.704762,0.501132,0.498868,0,0,5,9,10,4,0.000778,0.0,0.186069,0.108392,0.314286,0.390476,dominated_v2_failure_output
high_stress,high,H1_value_guard,6131.813159,12773.945999,4827060.0,0.912143,0.729714,0.0,0.0,2963.4,754.3,0.000952,0.295238,0.70381,0.610476,0.389524,0,0,6,10,8,5,0.000952,0.0,0.295238,0.0,0.314286,0.389524,dominated_v2_failure_output
high_stress,high,H2_original,6100.544958,12738.077706,4827382.0,0.912204,0.729763,0.0,0.0,2947.5,749.7,0.001196,0.295238,0.703566,0.61072,0.38928,1,0,2,7,7,2,0.001196,0.0,0.295238,0.0,0.314286,0.38928,dominated_v2_failure_output
high_stress,high,H2_value_guard,6106.399814,12717.232028,4829251.0,0.912557,0.730045,0.1,0.1,2950.6,750.9,0.002608,0.295238,0.702153,0.612132,0.387868,1,0,3,5,5,7,0.002608,0.0,0.295238,0.0,0.314286,0.387868,dominated_v2_failure_output
high_demand_high_stress,low,H0,11850.95223,11850.95223,6142843.0,1.011467,0.809174,111.6,111.6,5585.5,360.0,0.366551,0.358635,0.274813,0.544786,0.455214,1,1,10,10,1,10,0.187547,0.179004,0.179009,0.179627,0.17823,0.096584,non_dominated_v2_failure_output
high_demand_high_stress,low,H_TIME,11499.187321,11499.187321,6142479.0,1.011407,0.809126,105.4,105.4,5419.1,356.0,0.366556,0.358147,0.275297,0.545035,0.454965,1,1,9,9,2,9,0.187377,0.179179,0.179221,0.178926,0.178437,0.09686,non_dominated_v2_failure_output
high_demand_high_stress,low,H1,7294.107048,8957.494918,5607395.5,0.923302,0.738641,0.7,0.7,3522.3,874.0,0.000521,0.385371,0.614108,0.49953,0.50047,0,0,5,6,9,4,0.000521,0.0,0.22515,0.160221,0.273859,0.340249,dominated_v2_failure_output
high_demand_high_stress,low,H2,7267.926277,8928.851942,5608085.0,0.923415,0.738732,0.7,0.7,3509.2,872.0,0.001429,0.384463,0.614108,0.53255,0.46745,1,1,1,1,6,2,0.001429,0.0,0.257261,0.127201,0.273859,0.340249,non_dominated_v2_failure_output
high_demand_high_stress,low,H3,8260.997779,8969.662729,5874750.0,0.967324,0.773859,5.8,5.8,3974.2,852.7,0.240664,0.257261,0.502075,0.771784,0.228216,1,1,7,8,4,7,0.240664,0.0,0.257261,0.0,0.273859,0.228216,non_dominated_v2_failure_output
high_demand_high_stress,low,H4,8796.674701,8931.058573,6035568.0,0.993804,0.795043,17.6,17.6,4201.7,787.2,0.315574,0.319281,0.365145,0.410705,0.589295,1,1,8,3,3,8,0.136782,0.178792,0.136833,0.182448,0.137091,0.228054,non_dominated_v2_failure_output
high_demand_high_stress,low,H1_original,7294.107048,8957.494918,5607395.5,0.923302,0.738641,0.7,0.7,3522.3,874.0,0.000521,0.385371,0.614108,0.49953,0.50047,0,0,6,7,10,5,0.000521,0.0,0.22515,0.160221,0.273859,0.340249,dominated_v2_failure_output
high_demand_high_stress,low,H1_value_guard,7275.354245,8936.554877,5608008.0,0.923403,0.738722,0.1,0.1,3514.1,876.4,0.001328,0.384564,0.614108,0.532448,0.467552,0,1,3,5,8,1,0.001328,0.0,0.257261,0.127303,0.273859,0.340249,non_dominated_v2_failure_output
high_demand_high_stress,low,H2_original,7267.926277,8928.851942,5608085.0,0.923415,0.738732,0.7,0.7,3509.2,872.0,0.001429,0.384463,0.614108,0.53255,0.46745,1,1,2,2,7,3,0.001429,0.0,0.257261,0.127201,0.273859,0.340249,non_dominated_v2_failure_output
high_demand_high_stress,low,H2_value_guard,7277.19971,8931.976113,5609807.0,0.923699,0.738959,1.4,1.4,3513.1,868.9,0.002868,0.383854,0.613278,0.533988,0.466012,1,1,4,4,5,6,0.002868,0.0,0.257261,0.126593,0.273859,0.339419,non_dominated_v2_failure_output
high_demand_high_stress,base,H0,11850.95223,11850.95223,6142843.0,1.011467,0.809174,111.6,111.6,5585.5,360.0,0.366551,0.358635,0.274813,0.544786,0.455214,1,1,10,10,1,10,0.187547,0.179004,0.179009,0.179627,0.17823,0.096584,non_dominated_v2_failure_output
high_demand_high_stress,base,H_TIME,11499.187321,11499.187321,6142479.0,1.011407,0.809126,105.4,105.4,5419.1,356.0,0.366556,0.358147,0.275297,0.545035,0.454965,1,1,9,9,2,9,0.187377,0.179179,0.179221,0.178926,0.178437,0.09686,non_dominated_v2_failure_output
high_demand_high_stress,base,H1,7294.107048,10621.348592,5607395.5,0.923302,0.738641,0.7,0.7,3522.3,874.0,0.000521,0.385371,0.614108,0.49953,0.50047,0,0,5,7,9,4,0.000521,0.0,0.22515,0.160221,0.273859,0.340249,dominated_v2_failure_output
high_demand_high_stress,base,H2,7267.926277,10590.242722,5608085.0,0.923415,0.738732,0.7,0.7,3509.2,872.0,0.001429,0.384463,0.614108,0.53255,0.46745,1,1,1,4,6,2,0.001429,0.0,0.257261,0.127201,0.273859,0.340249,non_dominated_v2_failure_output
high_demand_high_stress,base,H3,8260.997779,9678.526129,5874750.0,0.967324,0.773859,5.8,5.8,3974.2,852.7,0.240664,0.257261,0.502075,0.771784,0.228216,1,1,7,2,4,7,0.240664,0.0,0.257261,0.0,0.273859,0.228216,non_dominated_v2_failure_output
high_demand_high_stress,base,H4,8796.674701,9065.480077,6035568.0,0.993804,0.795043,17.6,17.6,4201.7,787.2,0.315574,0.319281,0.365145,0.410705,0.589295,1,1,8,1,3,8,0.136782,0.178792,0.136833,0.182448,0.137091,0.228054,non_dominated_v2_failure_output
high_demand_high_stress,base,H1_original,7294.107048,10621.348592,5607395.5,0.923302,0.738641,0.7,0.7,3522.3,874.0,0.000521,0.385371,0.614108,0.49953,0.50047,0,0,6,8,10,5,0.000521,0.0,0.22515,0.160221,0.273859,0.340249,dominated_v2_failure_output
high_demand_high_stress,base,H1_value_guard,7275.354245,10598.220701,5608008.0,0.923403,0.738722,0.1,0.1,3514.1,876.4,0.001328,0.384564,0.614108,0.532448,0.467552,0,1,3,6,8,1,0.001328,0.0,0.257261,0.127303,0.273859,0.340249,non_dominated_v2_failure_output
high_demand_high_stress,base,H2_original,7267.926277,10590.242722,5608085.0,0.923415,0.738732,0.7,0.7,3509.2,872.0,0.001429,0.384463,0.614108,0.53255,0.46745,1,1,2,5,7,3,0.001429,0.0,0.257261,0.127201,0.273859,0.340249,non_dominated_v2_failure_output
high_demand_high_stress,base,H2_value_guard,7277.19971,10587.215909,5609807.0,0.923699,0.738959,1.4,1.4,3513.1,868.9,0.002868,0.383854,0.613278,0.533988,0.466012,1,1,4,3,5,6,0.002868,0.0,0.257261,0.126593,0.273859,0.339419,non_dominated_v2_failure_output
high_demand_high_stress,high,H0,11850.95223,11850.95223,6142843.0,1.011467,0.809174,111.6,111.6,5585.5,360.0,0.366551,0.358635,0.274813,0.544786,0.455214,1,1,10,4,1,10,0.187547,0.179004,0.179009,0.179627,0.17823,0.096584,non_dominated_v2_failure_output
high_demand_high_stress,high,H_TIME,11499.187321,11499.187321,6142479.0,1.011407,0.809126,105.4,105.4,5419.1,356.0,0.366556,0.358147,0.275297,0.545035,0.454965,1,1,9,3,2,9,0.187377,0.179179,0.179221,0.178926,0.178437,0.09686,non_dominated_v2_failure_output
high_demand_high_stress,high,H1,7294.107048,13948.590135,5607395.5,0.923302,0.738641,0.7,0.7,3522.3,874.0,0.000521,0.385371,0.614108,0.49953,0.50047,0,0,5,9,9,4,0.000521,0.0,0.22515,0.160221,0.273859,0.340249,dominated_v2_failure_output
high_demand_high_stress,high,H2,7267.926277,13912.559167,5608085.0,0.923415,0.738732,0.7,0.7,3509.2,872.0,0.001429,0.384463,0.614108,0.53255,0.46745,1,1,1,6,6,2,0.001429,0.0,0.257261,0.127201,0.273859,0.340249,non_dominated_v2_failure_output
high_demand_high_stress,high,H3,8260.997779,11096.054479,5874750.0,0.967324,0.773859,5.8,5.8,3974.2,852.7,0.240664,0.257261,0.502075,0.771784,0.228216,1,1,7,2,4,7,0.240664,0.0,0.257261,0.0,0.273859,0.228216,non_dominated_v2_failure_output
high_demand_high_stress,high,H4,8796.674701,9334.285453,6035568.0,0.993804,0.795043,17.6,17.6,4201.7,787.2,0.315574,0.319281,0.365145,0.410705,0.589295,1,1,8,1,3,8,0.136782,0.178792,0.136833,0.182448,0.137091,0.228054,non_dominated_v2_failure_output
high_demand_high_stress,high,H1_original,7294.107048,13948.590135,5607395.5,0.923302,0.738641,0.7,0.7,3522.3,874.0,0.000521,0.385371,0.614108,0.49953,0.50047,0,0,6,10,10,5,0.000521,0.0,0.22515,0.160221,0.273859,0.340249,dominated_v2_failure_output
high_demand_high_stress,high,H1_value_guard,7275.354245,13921.087157,5608008.0,0.923403,0.738722,0.1,0.1,3514.1,876.4,0.001328,0.384564,0.614108,0.532448,0.467552,0,1,3,8,8,1,0.001328,0.0,0.257261,0.127303,0.273859,0.340249,non_dominated_v2_failure_output
high_demand_high_stress,high,H2_original,7267.926277,13912.559167,5608085.0,0.923415,0.738732,0.7,0.7,3509.2,872.0,0.001429,0.384463,0.614108,0.53255,0.46745,1,1,2,7,7,3,0.001429,0.0,0.257261,0.127201,0.273859,0.340249,non_dominated_v2_failure_output
high_demand_high_stress,high,H2_value_guard,7277.19971,13897.232108,5609807.0,0.923699,0.738959,1.4,1.4,3513.1,868.9,0.002868,0.383854,0.613278,0.533988,0.466012,1,1,4,5,5,6,0.002868,0.0,0.257261,0.126593,0.273859,0.339419,non_dominated_v2_failure_output
