stage,soft_utilization_threshold,risk_guard_level,regime,policy,total_tco_v4_soft_congestion,total_tco_v3_hard,effective_fulfillment_rate,effective_output,route_hhi,max_route_share,congestion_delay_hours_hard,congestion_delay_hours_soft,failure_count,cm_count,downtime_hours,pm_visits,rank_tco_v4_soft
S2,0.85,relaxed,heterogeneous_condition,BALANCED_RR_H4_PM,5570.925434,5568.457803,1.000195,5293032.5,0.166681,0.168942,0.100146,5.035408,0.0,0.0,2691.7,766.5,2
S2,0.85,relaxed,heterogeneous_condition,H4,5774.972139,5774.796879,0.992857,5254200.0,0.174694,0.214286,0.0,0.35052,0.0,0.0,2659.5,757.9,3
S2,0.85,relaxed,heterogeneous_condition,H4_BALANCED_RR_GUARD,5345.746907,5345.577508,0.994814,5264553.0,0.173428,0.222132,0.0,0.3388,0.0,0.0,2484.4,713.1,1
S2,0.85,relaxed,high_demand_high_stress,BALANCED_RR_H4_PM,8905.033721,8893.509274,0.999999,6073193.0,0.166674,0.168161,1.218585,24.267478,20.4,20.4,4242.3,771.0,1
S2,0.85,relaxed,high_demand_high_stress,H4,9069.153105,9065.491786,0.993804,6035568.0,0.17349,0.228055,0.023417,7.346056,17.6,17.6,4201.7,787.2,3
S2,0.85,relaxed,high_demand_high_stress,H4_BALANCED_RR_GUARD,8906.69713,8901.551592,0.989948,6012153.0,0.172156,0.223273,0.181539,10.472615,13.6,13.6,4051.1,819.5,2
S2,0.85,relaxed,high_stress,BALANCED_RR_H4_PM,7767.351711,7764.861938,0.999753,5290691.0,0.166681,0.168572,0.1056,5.085145,0.4,0.4,3736.7,863.5,2
S2,0.85,relaxed,high_stress,H4,7964.345458,7964.170124,0.992854,5254182.5,0.174692,0.214281,0.0,0.350668,0.4,0.4,3709.3,867.5,3
S2,0.85,relaxed,high_stress,H4_BALANCED_RR_GUARD,7509.623483,7509.450305,0.99493,5265169.0,0.173267,0.221756,0.0,0.346356,0.0,0.0,3529.9,864.5,1
S2,0.85,strict,heterogeneous_condition,BALANCED_RR_H4_PM,5570.925434,5568.457803,1.000195,5293032.5,0.166681,0.168942,0.100146,5.035408,0.0,0.0,2691.7,766.5,2
S2,0.85,strict,heterogeneous_condition,H4,5774.972139,5774.796879,0.992857,5254200.0,0.174694,0.214286,0.0,0.35052,0.0,0.0,2659.5,757.9,3
S2,0.85,strict,heterogeneous_condition,H4_BALANCED_RR_GUARD,5478.62247,5478.398135,0.990915,5243924.0,0.174051,0.226074,2.2e-05,0.44869,0.0,0.0,2477.4,710.8,1
S2,0.85,strict,high_demand_high_stress,BALANCED_RR_H4_PM,8905.033721,8893.509274,0.999999,6073193.0,0.166674,0.168161,1.218585,24.267478,20.4,20.4,4242.3,771.0,2
S2,0.85,strict,high_demand_high_stress,H4,9069.153105,9065.491786,0.993804,6035568.0,0.17349,0.228055,0.023417,7.346056,17.6,17.6,4201.7,787.2,3
S2,0.85,strict,high_demand_high_stress,H4_BALANCED_RR_GUARD,8817.600987,8813.472178,0.99292,6030202.5,0.174905,0.228289,0.069488,8.327104,14.1,14.1,4069.3,807.9,1
S2,0.85,strict,high_stress,BALANCED_RR_H4_PM,7767.351711,7764.861938,0.999753,5290691.0,0.166681,0.168572,0.1056,5.085145,0.4,0.4,3736.7,863.5,2
S2,0.85,strict,high_stress,H4,7964.345458,7964.170124,0.992854,5254182.5,0.174692,0.214281,0.0,0.350668,0.4,0.4,3709.3,867.5,3
S2,0.85,strict,high_stress,H4_BALANCED_RR_GUARD,7623.884262,7623.661845,0.990948,5244095.5,0.174034,0.225942,0.0,0.444834,0.0,0.0,3511.9,864.0,1
S2,0.9,base,heterogeneous_condition,BALANCED_RR_H4_PM,5570.925434,5568.457803,1.000195,5293032.5,0.166681,0.168942,0.100146,5.035408,0.0,0.0,2691.7,766.5,2
S2,0.9,base,heterogeneous_condition,H4,5774.972139,5774.796879,0.992857,5254200.0,0.174694,0.214286,0.0,0.35052,0.0,0.0,2659.5,757.9,3
S2,0.9,base,heterogeneous_condition,H4_BALANCED_RR_GUARD,5454.485034,5454.16693,0.990347,5240914.0,0.173738,0.224048,2.2e-05,0.636231,0.0,0.0,2455.5,705.0,1
S2,0.9,base,high_demand_high_stress,BALANCED_RR_H4_PM,8905.033721,8893.509274,0.999999,6073193.0,0.166674,0.168161,1.218585,24.267478,20.4,20.4,4242.3,771.0,2
S2,0.9,base,high_demand_high_stress,H4,9069.153105,9065.491786,0.993804,6035568.0,0.17349,0.228055,0.023417,7.346056,17.6,17.6,4201.7,787.2,3
S2,0.9,base,high_demand_high_stress,H4_BALANCED_RR_GUARD,8883.447603,8878.923322,0.991805,6023433.5,0.173889,0.228834,0.122168,9.17073,15.3,15.3,4075.3,805.0,1
S2,0.9,base,high_stress,BALANCED_RR_H4_PM,7767.351711,7764.861938,0.999753,5290691.0,0.166681,0.168572,0.1056,5.085145,0.4,0.4,3736.7,863.5,2
S2,0.9,base,high_stress,H4,7964.345458,7964.170124,0.992854,5254182.5,0.174692,0.214281,0.0,0.350668,0.4,0.4,3709.3,867.5,3
S2,0.9,base,high_stress,H4_BALANCED_RR_GUARD,7616.73433,7616.42345,0.990538,5241929.0,0.173759,0.223963,1.9e-05,0.621777,0.0,0.0,3501.8,865.7,1
