stage,soft_utilization_threshold,risk_guard_level,regime,policy,completed_loads,guard_skip_count,fallback_to_h4_count,route_guard_violation_count,shovel_guard_violation_count,crusher_guard_violation_count,risk_guard_violation_count,guard_skip_per_completed_load,fallback_per_completed_load,route_violation_per_completed_load,shovel_violation_per_completed_load,crusher_violation_per_completed_load,risk_violation_per_completed_load,dominant_guard
S2,0.85,relaxed,high_stress,BALANCED_RR_H4_PM,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.85,relaxed,high_stress,H4,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.85,relaxed,high_stress,H4_BALANCED_RR_GUARD,18900.0,91272.4,8407.3,0.0,45897.2,29321.7,40515.6,4.829228,0.444831,0.0,2.428423,1.551413,2.143683,shovel
S2,0.85,strict,heterogeneous_condition,BALANCED_RR_H4_PM,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.85,strict,heterogeneous_condition,H4,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.85,strict,heterogeneous_condition,H4_BALANCED_RR_GUARD,18900.0,141400.0,13791.1,0.0,62028.2,12145.8,82785.5,7.481481,0.729688,0.0,3.281915,0.642635,4.380185,risk
S2,0.85,strict,high_demand_high_stress,BALANCED_RR_H4_PM,21690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.85,strict,high_demand_high_stress,H4,21690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.85,strict,high_demand_high_stress,H4_BALANCED_RR_GUARD,21690.0,156255.0,18286.6,0.0,87109.0,55453.8,79857.6,7.204011,0.843089,0.0,4.01609,2.556653,3.68177,shovel
S2,0.85,strict,high_stress,BALANCED_RR_H4_PM,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.85,strict,high_stress,H4,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.85,strict,high_stress,H4_BALANCED_RR_GUARD,18900.0,138406.9,13496.2,0.0,60722.2,11817.0,81039.2,7.323116,0.714085,0.0,3.212815,0.625238,4.287788,risk
S2,0.9,base,heterogeneous_condition,BALANCED_RR_H4_PM,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.9,base,heterogeneous_condition,H4,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.9,base,heterogeneous_condition,H4_BALANCED_RR_GUARD,18900.0,83678.2,6813.0,0.0,35408.8,20505.6,41428.9,4.427418,0.360476,0.0,1.873481,1.084952,2.192005,risk
S2,0.9,base,high_demand_high_stress,BALANCED_RR_H4_PM,21690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.9,base,high_demand_high_stress,H4,21690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.9,base,high_demand_high_stress,H4_BALANCED_RR_GUARD,21690.0,108091.9,12270.0,0.0,68177.6,54870.9,39931.1,4.98349,0.565698,0.0,3.143273,2.529779,1.840991,shovel
S2,0.9,base,high_stress,BALANCED_RR_H4_PM,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.9,base,high_stress,H4,18900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none
S2,0.9,base,high_stress,H4_BALANCED_RR_GUARD,18900.0,81992.4,6673.0,0.0,34750.4,20066.4,40545.0,4.338222,0.353069,0.0,1.838646,1.061714,2.145238,risk
