policy_id,regime,seed,days,total_demand,completed_loads,unmet_demand,demand_fulfillment_rate,total_tco,total_tco_report_value,pm_cost,cm_cost,downtime_cost,degradation_cost,unmet_demand_cost,pm_count,cm_count,failure_count,total_downtime_hours,avg_truck_hi,avg_tire_hi,avg_engine_hi,avg_brake_hi,availability_rate,route_a_loads,route_b_loads,route_c_loads
H1,heterogeneous_condition,103,365,76650,76650,0,1.0,23080.867663,23080867.663,8941.5,0.0,13459.2,680.167663,0.0,3156,0,0,11216,0.330833,0.35092,0.42691,0.446509,0.963187,32120,27375,17155
H1,heterogeneous_condition,104,365,76650,76650,0,1.0,21366.916787,21366916.787,8149.0,0.0,12585.6,632.316787,0.0,2927,0,0,10488,0.332904,0.361645,0.441597,0.440381,0.965466,32120,27375,17155
H1,heterogeneous_condition,105,365,76650,76650,0,1.0,23303.267338,23303267.338,9036.0,0.0,13576.8,690.467338,0.0,3218,0,0,11314,0.337753,0.383983,0.397196,0.442598,0.963027,32120,27375,17155
H1,heterogeneous_condition,106,365,76650,76650,0,1.0,23211.767096,23211767.096,8967.5,0.0,13564.8,679.467096,0.0,3141,0,0,11304,0.319806,0.335771,0.442597,0.461255,0.962717,32120,27375,17155
H1,heterogeneous_condition,107,365,76650,76650,0,1.0,21797.591946,21797591.946,8499.5,0.0,12640.8,657.291946,0.0,3091,0,0,10534,0.331703,0.358701,0.408332,0.47051,0.966005,32120,27375,17155
H1,heterogeneous_condition,108,365,76650,76650,0,1.0,25628.398368,25628398.368,9814.0,0.0,15060.0,754.398368,0.0,3523,0,0,12550,0.340241,0.389914,0.433965,0.423895,0.958772,32120,27375,17155
H1,heterogeneous_condition,109,365,76650,76650,0,1.0,19909.947389,19909947.389,7676.0,0.0,11635.2,598.747389,0.0,2790,0,0,9696,0.346526,0.377997,0.426347,0.433048,0.968457,32120,27375,17155
H1,heterogeneous_condition,110,365,76650,76650,0,1.0,26824.276443,26824276.443,10328.5,0.0,15704.4,791.376443,0.0,3707,0,0,13087,0.333283,0.362946,0.39976,0.437102,0.957169,32120,27375,17155
H1,heterogeneous_condition,111,365,76650,76650,0,1.0,20189.576221,20189576.221,7751.5,0.0,11840.4,597.676221,0.0,2759,0,0,9867,0.361912,0.398006,0.429342,0.44879,0.967534,32120,27375,17155
H1,heterogeneous_condition,112,365,76650,76650,0,1.0,22738.305432,22738305.432,8756.5,0.0,13310.4,671.405432,0.0,3120,0,0,11092,0.329669,0.372615,0.433707,0.451182,0.963589,32120,27375,17155
H1,heterogeneous_condition,113,365,76650,76650,0,1.0,22003.281603,22003281.603,8465.5,0.0,12891.6,646.181603,0.0,2979,0,0,10743,0.314594,0.346248,0.437089,0.433234,0.964539,32120,27375,17155
H1,heterogeneous_condition,114,365,76650,76650,0,1.0,22269.276086,22269276.086,8584.5,0.0,13021.2,663.576086,0.0,3099,0,0,10851,0.338144,0.354275,0.443517,0.443675,0.964594,32120,27375,17155
H1,heterogeneous_condition,115,365,76650,76650,0,1.0,20929.053126,20929053.126,8027.0,0.0,12273.6,628.453126,0.0,2938,0,0,10228,0.338018,0.395416,0.426034,0.436899,0.966708,32120,27375,17155
H1,heterogeneous_condition,116,365,76650,76650,0,1.0,22135.379784,22135379.784,8560.5,0.0,12918.0,656.879784,0.0,3059,0,0,10765,0.324063,0.348528,0.444702,0.457972,0.964804,32120,27375,17155
H1,heterogeneous_condition,117,365,76650,76650,0,1.0,21182.09778,21182097.78,8175.5,0.0,12369.6,636.99778,0.0,2981,0,0,10308,0.333246,0.376474,0.404419,0.455195,0.966534,32120,27373,17157
H1,heterogeneous_condition,118,365,76650,76650,0,1.0,25974.153754,25974153.754,10007.5,9.6,15201.6,755.453754,0.0,3501,1,1,12668,0.327753,0.356409,0.452989,0.432757,0.958137,32120,27375,17155
H1,heterogeneous_condition,119,365,76650,76650,0,1.0,21577.293346,21577293.346,8257.5,0.0,12692.4,627.393346,0.0,2869,0,0,10577,0.363524,0.400193,0.432101,0.425148,0.964795,32120,27375,17155
H1,heterogeneous_condition,120,365,76650,76650,0,1.0,22614.770913,22614770.913,8663.0,0.0,13279.2,672.570913,0.0,3141,0,0,11066,0.34225,0.368121,0.434216,0.459217,0.963813,32120,27375,17155
H1,heterogeneous_condition,121,365,76650,76650,0,1.0,23847.81617,23847816.17,9187.0,0.0,13954.8,706.01617,0.0,3296,0,0,11629,0.34024,0.394386,0.407298,0.450537,0.961945,32120,27375,17155
H1,heterogeneous_condition,122,365,76650,76650,0,1.0,22581.763077,22581763.077,8651.0,9.6,13251.6,669.563077,0.0,3106,1,1,11043,0.323467,0.331827,0.412342,0.406483,0.963763,32120,27375,17155
H1,heterogeneous_condition,123,365,76650,76650,0,1.0,23477.319085,23477319.085,9041.5,0.0,13742.4,693.419085,0.0,3226,0,0,11452,0.346428,0.382889,0.427956,0.415045,0.962434,32120,27375,17155
H1,heterogeneous_condition,124,365,76650,76650,0,1.0,23892.404412,23892404.412,9222.5,0.0,13965.6,704.304412,0.0,3281,0,0,11638,0.341386,0.385519,0.451438,0.418856,0.961836,32120,27375,17155
H1,heterogeneous_condition,125,365,76650,76650,0,1.0,22308.146776,22308146.776,8572.0,0.0,13087.2,648.946776,0.0,2974,0,0,10906,0.346049,0.375918,0.410994,0.449291,0.963772,32120,27375,17155
H1,heterogeneous_condition,126,365,76650,76650,0,1.0,21074.87234,21074872.34,8157.5,0.0,12289.2,628.17234,0.0,2928,0,0,10241,0.344004,0.380153,0.446867,0.456227,0.966603,32120,27375,17155
H1,heterogeneous_condition,127,365,76650,76650,0,1.0,21569.277989,21569277.989,8327.5,0.0,12607.2,634.577989,0.0,2929,0,0,10506,0.340692,0.364661,0.43286,0.446437,0.965402,32120,27375,17155
H1,heterogeneous_condition,128,365,76650,76650,0,1.0,20580.964396,20580964.396,7867.0,0.0,12105.6,608.364396,0.0,2805,0,0,10088,0.347529,0.376482,0.434341,0.423851,0.966744,32120,27375,17155
H1,heterogeneous_condition,129,365,76650,76650,0,1.0,22642.275777,22642275.777,8709.5,0.0,13249.2,683.575777,0.0,3223,0,0,11041,0.334448,0.361354,0.422503,0.44015,0.964297,32120,27375,17155
H1,heterogeneous_condition,130,365,76650,76650,0,1.0,21284.721023,21284721.023,8238.0,0.0,12412.8,633.921023,0.0,2951,0,0,10344,0.333405,0.364215,0.420838,0.475302,0.966233,32120,27375,17155
H2,heterogeneous_condition,101,365,76650,76650,0,1.0,21750.136236,21750136.236,8446.0,9.6,12646.8,647.736236,0.0,3015,1,1,10539,0.339971,0.374623,0.406185,0.435151,0.965648,32120,27360,17170
H2,heterogeneous_condition,102,365,76650,76650,0,1.0,19945.010643,19945010.643,7739.0,0.0,11613.6,592.410643,0.0,2738,0,0,9678,0.341029,0.373168,0.440785,0.427938,0.968311,32120,27365,17165
H2,heterogeneous_condition,103,365,76650,76650,0,1.0,23053.22873,23053228.73,8926.0,9.6,13437.6,680.02873,0.0,3158,1,1,11198,0.345465,0.380633,0.4067,0.45029,0.963288,32120,27363,17167
H2,heterogeneous_condition,104,365,76650,76650,0,1.0,21297.849138,21297849.138,8126.5,0.0,12538.8,632.549138,0.0,2934,0,0,10449,0.323039,0.352704,0.442154,0.432932,0.965676,32120,27372,17158
H2,heterogeneous_condition,105,365,76650,76650,0,1.0,23345.05146,23345051.46,9058.0,0.0,13596.0,691.05146,0.0,3223,0,0,11330,0.351111,0.381487,0.433991,0.431009,0.962973,32120,27363,17167
H2,heterogeneous_condition,106,365,76650,76650,0,1.0,23208.887567,23208887.567,8967.0,0.0,13561.2,680.687567,0.0,3149,0,0,11301,0.316864,0.334474,0.429598,0.459636,0.962767,32120,27373,17157
H2,heterogeneous_condition,107,365,76650,76650,0,1.0,21923.679278,21923679.278,8541.0,0.0,12721.2,661.479278,0.0,3118,0,0,10601,0.341468,0.371288,0.426695,0.468049,0.965831,32120,27365,17165
H2,heterogeneous_condition,108,365,76650,76650,0,1.0,25760.880456,25760880.456,9873.0,0.0,15129.6,758.280456,0.0,3543,0,0,12608,0.331202,0.379697,0.432266,0.442868,0.958598,32120,27373,17157
H2,heterogeneous_condition,109,365,76650,76650,0,1.0,20196.352412,20196352.412,7786.0,0.0,11803.2,607.152412,0.0,2836,0,0,9836,0.329616,0.369416,0.421626,0.481825,0.968027,32120,27360,17170
H2,heterogeneous_condition,110,365,76650,76650,0,1.0,26920.051511,26920051.511,10360.0,0.0,15765.6,794.451511,0.0,3718,0,0,13138,0.315729,0.336383,0.408734,0.409935,0.956982,32120,27369,17161
H2,heterogeneous_condition,111,365,76650,76650,0,1.0,20241.714551,20241714.551,7766.5,0.0,11876.4,598.814551,0.0,2761,0,0,9897,0.336953,0.359327,0.438149,0.448058,0.967406,32120,27362,17168
H2,heterogeneous_condition,112,365,76650,76650,0,1.0,22702.898692,22702898.692,8751.0,0.0,13281.6,670.298692,0.0,3116,0,0,11068,0.325416,0.356874,0.45357,0.451599,0.96368,32120,27360,17170
H2,heterogeneous_condition,113,365,76650,76650,0,1.0,22113.416463,22113416.463,8510.5,0.0,12952.8,650.116463,0.0,2999,0,0,10794,0.331392,0.361861,0.406971,0.444723,0.964402,32120,27360,17170
H2,heterogeneous_condition,114,365,76650,76650,0,1.0,22307.163978,22307163.978,8602.0,0.0,13039.2,665.963978,0.0,3107,0,0,10866,0.324648,0.374929,0.415019,0.400602,0.964562,32120,27360,17170
H2,heterogeneous_condition,115,365,76650,76650,0,1.0,21042.783097,21042783.097,8076.5,0.0,12334.8,631.483097,0.0,2954,0,0,10279,0.335855,0.382445,0.437159,0.44921,0.966548,32120,27367,17163
H2,heterogeneous_condition,116,365,76650,76650,0,1.0,21988.061082,21988061.082,8502.5,0.0,12832.8,652.761082,0.0,3036,0,0,10694,0.334289,0.361875,0.430266,0.436344,0.965032,32120,27374,17156
H2,heterogeneous_condition,117,365,76650,76650,0,1.0,21065.227352,21065227.352,8121.0,0.0,12310.8,633.427352,0.0,2966,0,0,10259,0.341054,0.393449,0.422331,0.440862,0.966689,32120,27360,17170
H2,heterogeneous_condition,118,365,76650,76650,0,1.0,25865.298843,25865298.843,9975.0,0.0,15136.8,753.498843,0.0,3493,0,0,12614,0.33363,0.358994,0.403111,0.477101,0.958342,32120,27365,17165
H2,heterogeneous_condition,119,365,76650,76650,0,1.0,21986.781432,21986781.432,8407.0,0.0,12939.6,640.181432,0.0,2932,0,0,10783,0.337944,0.352365,0.410807,0.470525,0.964142,32120,27365,17165
H2,heterogeneous_condition,120,365,76650,76650,0,1.0,22629.060362,22629060.362,8675.5,0.0,13279.2,674.360362,0.0,3155,0,0,11066,0.347644,0.399644,0.424116,0.453118,0.963872,32120,27362,17168
H2,heterogeneous_condition,121,365,76650,76650,0,1.0,23708.553796,23708553.796,9131.5,0.0,13875.6,701.453796,0.0,3270,0,0,11563,0.321373,0.363345,0.420028,0.443922,0.962123,32120,27367,17163
H2,heterogeneous_condition,122,365,76650,76650,0,1.0,22781.022362,22781022.362,8738.5,0.0,13368.0,674.522362,0.0,3130,0,0,11140,0.320515,0.375653,0.39479,0.412079,0.96342,32120,27365,17165
H2,heterogeneous_condition,123,365,76650,76650,0,1.0,23631.942802,23631942.802,9093.0,0.0,13842.0,696.942802,0.0,3246,0,0,11535,0.358705,0.388751,0.446178,0.432949,0.962146,32120,27360,17170
H2,heterogeneous_condition,124,365,76650,76650,0,1.0,24182.67543,24182675.43,9340.5,0.0,14130.0,712.17543,0.0,3319,0,0,11775,0.332493,0.368746,0.453439,0.444764,0.961379,32120,27360,17170
H2,heterogeneous_condition,125,365,76650,76650,0,1.0,22366.012537,22366012.537,8591.0,0.0,13125.6,649.412537,0.0,2976,0,0,10938,0.341036,0.377348,0.441079,0.440268,0.963635,32120,27369,17161
H2,heterogeneous_condition,126,365,76650,76650,0,1.0,21353.231181,21353231.181,8268.0,0.0,12450.0,635.231181,0.0,2957,0,0,10375,0.358123,0.405037,0.424038,0.448673,0.966123,32120,27363,17167
H2,heterogeneous_condition,127,365,76650,76650,0,1.0,21848.955524,21848955.524,8441.0,0.0,12766.8,641.155524,0.0,2960,0,0,10639,0.33968,0.382153,0.448387,0.439656,0.964936,32120,27366,17164
H2,heterogeneous_condition,128,365,76650,76650,0,1.0,20286.4587,20286458.7,7757.0,0.0,11929.2,600.2587,0.0,2766,0,0,9941,0.332857,0.370575,0.414579,0.45117,0.967233,32120,27368,17162
H2,heterogeneous_condition,129,365,76650,76650,0,1.0,22621.841746,22621841.746,8706.5,0.0,13231.2,684.141746,0.0,3231,0,0,11026,0.329862,0.370634,0.419618,0.448198,0.964402,32120,27366,17164
H2,heterogeneous_condition,130,365,76650,76650,0,1.0,20985.169508,20985169.508,8113.0,0.0,12246.0,626.169508,0.0,2914,0,0,10205,0.323374,0.367469,0.4214,0.453942,0.966699,32120,27360,17170
H3,heterogeneous_condition,101,365,76650,76650,0,1.0,22190.870957,22190870.957,8543.0,0.0,13002.0,645.870957,0.0,3092,0,0,10835,0.721457,0.734855,0.760908,0.778679,0.964644,32120,21900,22630
H3,heterogeneous_condition,102,365,76650,76650,0,1.0,22014.884929,22014884.929,8636.0,0.0,12729.6,649.284929,0.0,3140,0,0,10608,0.724684,0.749687,0.775133,0.760755,0.96589,32120,21900,22630
H3,heterogeneous_condition,103,365,76650,76650,0,1.0,28290.96669,28290966.69,10946.5,28.8,16509.6,806.06669,0.0,3826,3,3,13758,0.703664,0.713056,0.767781,0.786966,0.954653,32120,21900,22630
H3,heterogeneous_condition,104,365,76650,76650,0,1.0,24014.774682,24014774.682,9259.0,9.6,14036.4,709.774682,0.0,3443,1,1,11697,0.720645,0.730266,0.782287,0.774083,0.962306,32120,21900,22630
H3,heterogeneous_condition,105,365,76650,76650,0,1.0,25410.506202,25410506.202,9819.5,0.0,14857.2,733.806202,0.0,3508,0,0,12381,0.713701,0.737984,0.773786,0.764218,0.959479,32120,21900,22630
H3,heterogeneous_condition,106,365,76650,76650,0,1.0,23542.183174,23542183.174,9079.5,0.0,13798.8,663.883174,0.0,3113,0,0,11499,0.716848,0.751812,0.747514,0.779259,0.961703,32120,21900,22630
H3,heterogeneous_condition,107,365,76650,76650,0,1.0,24491.044809,24491044.809,9465.5,19.2,14282.4,723.944809,0.0,3511,2,2,11902,0.700672,0.709242,0.768379,0.782806,0.961689,32120,21900,22630
H3,heterogeneous_condition,108,365,76650,76650,0,1.0,30104.574946,30104574.946,11505.0,28.8,17710.8,859.974946,0.0,4086,3,3,14759,0.697072,0.717801,0.745094,0.752378,0.951279,32120,21900,22630
H3,heterogeneous_condition,109,365,76650,76650,0,1.0,21871.016403,21871016.403,8474.5,0.0,12745.2,651.316403,0.0,3168,0,0,10621,0.731573,0.751031,0.776838,0.758597,0.965959,32120,21900,22630
H3,heterogeneous_condition,110,365,76650,76650,0,1.0,30348.070083,30348070.083,11789.5,19.2,17671.2,868.170083,0.0,4139,2,2,14726,0.722308,0.734648,0.763373,0.763957,0.951658,32120,21900,22630
H3,heterogeneous_condition,111,365,76650,76650,0,1.0,19769.667492,19769667.492,7587.5,0.0,11614.8,567.367492,0.0,2682,0,0,9679,0.72811,0.763868,0.773445,0.770684,0.968041,32120,21900,22630
H3,heterogeneous_condition,112,365,76650,76650,0,1.0,22152.79612,22152796.12,8451.0,0.0,13065.6,636.19612,0.0,3016,0,0,10888,0.709488,0.7182,0.771627,0.786589,0.96405,32120,21900,22630
H3,heterogeneous_condition,113,365,76650,76650,0,1.0,24987.778473,24987778.473,9568.0,19.2,14690.4,710.178473,0.0,3350,2,2,12242,0.712773,0.728155,0.750256,0.771631,0.959406,32120,21900,22630
H3,heterogeneous_condition,114,365,76650,76650,0,1.0,21911.699857,21911699.857,8394.5,0.0,12878.4,638.799857,0.0,3063,0,0,10732,0.735959,0.752732,0.768913,0.788849,0.964973,32120,21900,22630
H3,heterogeneous_condition,115,365,76650,76650,0,1.0,22156.35184,22156351.84,8456.5,0.0,13064.4,635.45184,0.0,3012,0,0,10887,0.721283,0.735673,0.782472,0.77852,0.964032,32120,21900,22630
H3,heterogeneous_condition,116,365,76650,76650,0,1.0,22838.988489,22838988.489,8781.5,0.0,13402.8,654.688489,0.0,3101,0,0,11169,0.710904,0.751659,0.748166,0.76783,0.963151,32120,21900,22630
H3,heterogeneous_condition,117,365,76650,76650,0,1.0,22168.843925,22168843.925,8488.0,9.6,13035.6,635.643925,0.0,3009,1,1,10863,0.704657,0.740993,0.754378,0.778739,0.964132,32120,21900,22630
H3,heterogeneous_condition,118,365,76650,76650,0,1.0,22898.789054,22898789.054,8846.5,0.0,13375.2,677.089054,0.0,3275,0,0,11146,0.700817,0.723028,0.741458,0.771596,0.964059,32120,21900,22630
H3,heterogeneous_condition,119,365,76650,76650,0,1.0,24191.36135,24191361.35,9243.0,0.0,14268.0,680.36135,0.0,3182,0,0,11890,0.707567,0.736589,0.769112,0.743603,0.960228,32120,21900,22630
H3,heterogeneous_condition,120,365,76650,76650,0,1.0,22952.374675,22952374.675,8827.5,0.0,13466.4,658.474675,0.0,3125,0,0,11222,0.715309,0.729814,0.77117,0.783617,0.963023,32120,21900,22630
H3,heterogeneous_condition,121,365,76650,76650,0,1.0,25025.461012,25025461.012,9657.5,0.0,14640.0,727.961012,0.0,3498,0,0,12200,0.725573,0.754564,0.7595,0.789795,0.960256,32120,21900,22630
H3,heterogeneous_condition,122,365,76650,76650,0,1.0,21717.861525,21717861.525,8385.0,0.0,12700.8,632.061525,0.0,3024,0,0,10584,0.706855,0.72361,0.775147,0.768693,0.965475,32120,21900,22630
H3,heterogeneous_condition,123,365,76650,76650,0,1.0,24630.014207,24630014.207,9473.5,0.0,14460.0,696.514207,0.0,3278,0,0,12050,0.71328,0.722837,0.764797,0.798626,0.959936,32120,21900,22630
H3,heterogeneous_condition,124,365,76650,76650,0,1.0,24651.28591,24651285.91,9465.0,0.0,14467.2,719.08591,0.0,3457,0,0,12056,0.717545,0.742219,0.761173,0.770526,0.960726,32120,21900,22630
H3,heterogeneous_condition,125,365,76650,76650,0,1.0,21564.095444,21564095.444,8291.0,19.2,12636.0,617.895444,0.0,2923,2,2,10530,0.725951,0.747916,0.77553,0.753001,0.965269,32120,21900,22630
H3,heterogeneous_condition,126,365,76650,76650,0,1.0,21147.46978,21147469.78,8074.0,0.0,12463.2,610.26978,0.0,2895,0,0,10386,0.713137,0.726517,0.74936,0.771104,0.965795,32120,21900,22630
H3,heterogeneous_condition,127,365,76650,76650,0,1.0,23437.603155,23437603.155,9045.0,0.0,13726.8,665.803155,0.0,3141,0,0,11439,0.723847,0.730783,0.776002,0.780135,0.96211,32120,21900,22630
H3,heterogeneous_condition,128,365,76650,76650,0,1.0,22923.650096,22923650.096,8750.5,0.0,13508.4,664.750096,0.0,3176,0,0,11257,0.714933,0.747547,0.750703,0.787434,0.963096,32120,21900,22630
H3,heterogeneous_condition,129,365,76650,76650,0,1.0,24352.484493,24352484.493,9388.5,0.0,14251.2,712.784493,0.0,3433,0,0,11876,0.710022,0.730728,0.756305,0.778687,0.961438,32120,21900,22630
H3,heterogeneous_condition,130,365,76650,76650,0,1.0,23311.590929,23311590.929,9022.0,0.0,13600.8,688.790929,0.0,3337,0,0,11334,0.727026,0.743911,0.751596,0.789217,0.963475,32120,21900,22630
H4,heterogeneous_condition,101,365,76650,76650,0,1.0,22224.958712,22224958.712,8567.0,0.0,13009.2,648.758712,0.0,3108,0,0,10841,0.694676,0.712738,0.74363,0.786963,0.96468,29565,26280,20805
H4,heterogeneous_condition,102,365,76650,76650,0,1.0,22066.98712,22066987.12,8663.5,0.0,12751.2,652.28712,0.0,3160,0,0,10626,0.726486,0.739295,0.761772,0.787083,0.965904,29565,26280,20805
H4,heterogeneous_condition,103,365,76650,76650,0,1.0,28290.072535,28290072.535,10981.0,0.0,16500.0,809.072535,0.0,3850,0,0,13750,0.698193,0.712034,0.765241,0.772815,0.954785,29565,26280,20805
H4,heterogeneous_condition,104,365,76650,76650,0,1.0,24084.470071,24084470.071,9287.0,19.2,14065.2,713.070071,0.0,3462,2,2,11721,0.728617,0.740486,0.752856,0.795116,0.962288,29565,26279,20806
H4,heterogeneous_condition,105,365,76650,76650,0,1.0,25441.218403,25441218.403,9841.5,0.0,14863.2,736.518403,0.0,3526,0,0,12386,0.721372,0.733122,0.775751,0.754504,0.959534,29565,26280,20805
H4,heterogeneous_condition,106,365,76650,76650,0,1.0,23589.698514,23589698.514,9107.0,0.0,13816.8,665.898514,0.0,3130,0,0,11514,0.723882,0.758898,0.769823,0.787254,0.961708,29565,26280,20805
