policy_id,regime,seed,days,total_demand,completed_loads,unmet_demand,demand_fulfillment_rate,total_tco,total_tco_report_value,pm_cost,cm_cost,downtime_cost,degradation_cost,unmet_demand_cost,pm_count,pm_component_count,pm_tire,pm_engine,pm_brake,cm_count,cm_tire,cm_engine,cm_brake,failure_count,total_downtime_hours,avg_truck_hi,avg_tire_hi,avg_engine_hi,avg_brake_hi,avg_frailty,max_frailty,availability_rate,route_a_loads,route_b_loads,route_c_loads
H_TIME,heterogeneous_condition,102,365,76650,76648,2,0.999974,37049.065899,37049065.899,13498.0,864.0,22029.6,653.465899,4.0,1588,4764,1588,1588,1588,90,90,0,0,90,18358,0.740058,0.803076,0.893527,0.959462,0.873249,2.345799,0.923826,28362,25656,22630
H_TIME,heterogeneous_condition,103,365,76650,76649,1,0.999987,40317.100547,40317100.547,13498.0,2274.0,23738.4,804.700547,2.0,1588,4764,1588,1588,1588,213,163,47,3,213,19782,0.6796,0.822909,0.774297,0.896446,0.992559,2.718937,0.917886,28281,25738,22630
H_TIME,heterogeneous_condition,104,365,76650,76650,0,1.0,36985.435977,36985435.977,13498.0,820.8,21967.2,699.435977,0.0,1588,4764,1588,1588,1588,70,21,25,24,70,18306,0.726721,0.798014,0.910297,0.895108,0.94391,2.700947,0.923973,28249,25771,22630
H_TIME,heterogeneous_condition,105,365,76650,76650,0,1.0,38646.078761,38646078.761,13498.0,1539.6,22875.6,732.878761,0.0,1588,4764,1588,1588,1588,157,142,4,11,157,19063,0.665038,0.832078,0.833552,0.880331,1.020715,2.576161,0.920909,28292,25728,22630
H_TIME,heterogeneous_condition,106,365,76650,76650,0,1.0,35460.385942,35460385.942,13498.0,158.4,21134.4,669.585942,0.0,1588,4764,1588,1588,1588,11,0,11,0,11,17612,0.919186,0.949493,0.936424,0.955526,0.982959,2.36643,0.926872,28280,25740,22630
H_TIME,heterogeneous_condition,107,365,76650,76647,3,0.999961,40013.14435,40013144.35,13498.0,2124.0,23654.4,730.74435,6.0,1588,4764,1588,1588,1588,214,156,0,58,214,19712,0.677867,0.788757,0.862525,0.896182,0.96149,2.78374,0.918205,28325,25692,22630
H_TIME,heterogeneous_condition,108,365,76650,76643,7,0.999909,43959.684374,43959684.374,13498.0,3849.6,25744.8,853.284374,14.0,1588,4764,1588,1588,1588,356,200,68,88,356,21454,0.691512,0.859607,0.827223,0.854924,1.128587,3.150683,0.9109,28327,25686,22630
H_TIME,heterogeneous_condition,109,365,76650,76650,0,1.0,35072.695203,35072695.203,13498.0,0.0,20949.6,625.095203,0.0,1588,4764,1588,1588,1588,0,0,0,0,0,17458,0.93447,0.936652,0.960154,0.965861,0.909119,2.084195,0.927525,28151,25869,22630
H_TIME,heterogeneous_condition,110,365,76650,76647,3,0.999961,44095.543292,44095543.292,13498.0,3925.2,25783.2,883.143292,6.0,1588,4764,1588,1588,1588,358,218,89,51,358,21486,0.643113,0.797055,0.780216,0.850164,1.167516,3.047173,0.910763,28243,25774,22630
H_TIME,heterogeneous_condition,111,365,76650,76650,0,1.0,35008.907582,35008907.582,13498.0,0.0,20949.6,561.307582,0.0,1588,4764,1588,1588,1588,0,0,0,0,0,17458,0.952885,0.963787,0.965391,0.969664,0.89138,2.095381,0.927525,28315,25705,22630
H_TIME,heterogeneous_condition,112,365,76650,76645,5,0.999935,36979.418294,36979418.294,13498.0,820.8,21979.2,671.418294,10.0,1588,4764,1588,1588,1588,85,81,0,4,85,18316,0.826851,0.921602,0.901005,0.931915,0.991605,2.415176,0.923995,28362,25653,22630
H_TIME,heterogeneous_condition,113,365,76650,76650,0,1.0,35140.992536,35140992.536,13498.0,0.0,20949.6,693.392536,0.0,1588,4764,1588,1588,1588,0,0,0,0,0,17458,0.920644,0.952328,0.950013,0.949952,0.969895,2.692642,0.927525,28207,25813,22630
H_TIME,heterogeneous_condition,114,365,76650,76650,0,1.0,35074.426986,35074426.986,13498.0,0.0,20949.6,626.826986,0.0,1588,4764,1588,1588,1588,0,0,0,0,0,17458,0.932915,0.946523,0.964244,0.960295,0.993229,2.252138,0.927525,28206,25814,22630
H_TIME,heterogeneous_condition,115,365,76650,76650,0,1.0,35072.405329,35072405.329,13498.0,0.0,20949.6,624.805329,0.0,1588,4764,1588,1588,1588,0,0,0,0,0,17458,0.947743,0.9572,0.966179,0.96244,0.935916,2.362907,0.927525,28221,25799,22630
H_TIME,heterogeneous_condition,116,365,76650,76649,1,0.999987,35353.356845,35353356.845,13498.0,96.0,21069.6,687.756845,2.0,1588,4764,1588,1588,1588,10,10,0,0,10,17558,0.892559,0.919638,0.933147,0.957521,0.95815,1.862636,0.927114,28300,25719,22630
H_TIME,heterogeneous_condition,117,365,76650,76650,0,1.0,35089.753304,35089753.304,13498.0,0.0,20949.6,642.153304,0.0,1588,4764,1588,1588,1588,0,0,0,0,0,17458,0.94155,0.948,0.959078,0.967295,0.944106,2.713709,0.927525,28269,25751,22630
H_TIME,heterogeneous_condition,118,365,76650,76650,0,1.0,35690.615124,35690615.124,13498.0,244.8,21252.0,695.815124,0.0,1588,4764,1588,1588,1588,24,21,3,0,24,17710,0.899427,0.9267,0.944444,0.959554,1.087549,2.686366,0.926484,28302,25718,22630
H_TIME,heterogeneous_condition,119,365,76650,76650,0,1.0,35649.614564,35649614.564,13498.0,230.4,21218.4,702.814564,0.0,1588,4764,1588,1588,1588,16,0,16,0,16,17682,0.908994,0.956902,0.926927,0.945253,0.945655,2.343004,0.926575,28276,25744,22630
H_TIME,heterogeneous_condition,120,365,76650,76650,0,1.0,35439.054663,35439054.663,13498.0,153.6,21136.8,650.654663,0.0,1588,4764,1588,1588,1588,14,10,4,0,14,17614,0.888663,0.919894,0.938248,0.954558,1.001425,2.434457,0.926877,28297,25723,22630
H_TIME,heterogeneous_condition,121,365,76650,76650,0,1.0,37485.267925,37485267.925,13498.0,1027.2,22233.6,726.467925,0.0,1588,4764,1588,1588,1588,107,107,0,0,107,18528,0.733987,0.828895,0.917972,0.888106,1.021615,3.391484,0.923128,28329,25691,22630
H_TIME,heterogeneous_condition,122,365,76650,76648,2,0.999974,35524.95413,35524954.13,13498.0,192.0,21189.6,641.35413,4.0,1588,4764,1588,1588,1588,20,20,0,0,20,17658,0.891624,0.925741,0.948538,0.954276,0.996644,2.514645,0.926703,28251,25767,22630
H_TIME,heterogeneous_condition,123,365,76650,76649,1,0.999987,35437.613265,35437613.265,13498.0,128.4,21112.8,696.413265,2.0,1588,4764,1588,1588,1588,13,10,0,3,13,17594,0.723196,0.845572,0.864032,0.91998,1.029339,2.838985,0.926963,28247,25772,22630
H_TIME,heterogeneous_condition,124,365,76650,76648,2,0.999974,35929.021162,35929021.162,13498.0,328.8,21362.4,735.821162,4.0,1588,4764,1588,1588,1588,34,32,0,2,34,17802,0.736878,0.863287,0.909382,0.873293,1.036929,2.830429,0.92611,28304,25714,22630
H_TIME,heterogeneous_condition,125,365,76650,76650,0,1.0,36308.668989,36308668.989,13498.0,547.2,21633.6,629.868989,0.0,1588,4764,1588,1588,1588,57,57,0,0,57,18028,0.914437,0.93519,0.953306,0.957055,0.973181,3.454216,0.925183,28273,25747,22630
H_TIME,heterogeneous_condition,126,365,76650,76650,0,1.0,35273.640464,35273640.464,13498.0,96.0,21069.6,610.040464,0.0,1588,4764,1588,1588,1588,10,10,0,0,10,17558,0.925455,0.937861,0.953156,0.954209,0.944488,2.366325,0.927114,28278,25742,22630
H_TIME,heterogeneous_condition,127,365,76650,76650,0,1.0,35843.740049,35843740.049,13498.0,331.2,21336.0,678.540049,0.0,1588,4764,1588,1588,1588,23,0,23,0,23,17780,0.870236,0.928323,0.905389,0.950527,0.942635,2.523655,0.92616,28286,25734,22630
H_TIME,heterogeneous_condition,128,365,76650,76650,0,1.0,35579.358597,35579358.597,13498.0,211.2,21213.6,656.558597,0.0,1588,4764,1588,1588,1588,22,22,0,0,22,17678,0.909982,0.935461,0.964733,0.941223,0.896926,2.281344,0.926621,28247,25773,22630
H_TIME,heterogeneous_condition,129,365,76650,76650,0,1.0,36853.633443,36853633.443,13498.0,747.6,21888.0,720.033443,0.0,1588,4764,1588,1588,1588,76,67,2,7,76,18240,0.702059,0.795973,0.911634,0.899521,1.00374,2.367916,0.924301,28263,25757,22630
H_TIME,heterogeneous_condition,130,365,76650,76650,0,1.0,35143.454177,35143454.177,13498.0,0.0,20949.6,695.854177,0.0,1588,4764,1588,1588,1588,0,0,0,0,0,17458,0.896211,0.904208,0.955733,0.95635,0.909215,1.866523,0.927525,28353,25667,22630
H1,heterogeneous_condition,101,365,76650,76650,0,1.0,21866.444754,21866444.754,8503.0,0.0,12711.6,651.844754,0.0,3027,3038,1295,1037,706,0,0,0,0,0,10593,0.333703,0.369224,0.400453,0.453059,0.937723,2.4518,0.965443,32120,27375,17155
H1,heterogeneous_condition,102,365,76650,76650,0,1.0,20013.885745,20013885.745,7770.5,0.0,11649.6,593.785745,0.0,2739,2746,1126,979,641,0,0,0,0,0,9708,0.333306,0.371244,0.451251,0.444578,0.873249,2.345799,0.968174,32120,27375,17155
H1,heterogeneous_condition,103,365,76650,76650,0,1.0,23114.506834,23114506.834,8956.0,0.0,13477.2,681.306834,0.0,3143,3159,1261,1126,772,0,0,0,0,0,11231,0.323414,0.342731,0.42004,0.436215,0.992559,2.718937,0.963064,32120,27375,17155
H1,heterogeneous_condition,104,365,76650,76650,0,1.0,21166.54192,21166541.92,8071.0,0.0,12469.2,626.34192,0.0,2892,2899,1050,899,950,0,0,0,0,0,10391,0.333427,0.358837,0.440916,0.45762,0.94391,2.700947,0.965753,32120,27375,17155
H1,heterogeneous_condition,105,365,76650,76650,0,1.0,23276.302269,23276302.269,9026.5,0.0,13560.0,689.802269,0.0,3200,3215,1328,1102,785,0,0,0,0,0,11300,0.331282,0.37105,0.406664,0.443755,1.020715,2.576161,0.963005,32120,27375,17155
H1,heterogeneous_condition,106,365,76650,76650,0,1.0,23109.678682,23109678.682,8927.5,0.0,13504.8,677.378682,0.0,3114,3129,1192,1134,803,0,0,0,0,0,11254,0.338302,0.378137,0.436304,0.403903,0.982959,2.36643,0.962826,32120,27375,17155
H1,heterogeneous_condition,107,365,76650,76650,0,1.0,21827.562431,21827562.431,8506.0,0.0,12663.6,657.962431,0.0,3081,3095,1400,979,716,0,0,0,0,0,10553,0.347641,0.386297,0.412227,0.452288,0.96149,2.78374,0.965872,32120,27375,17155
H1,heterogeneous_condition,108,365,76650,76650,0,1.0,25599.059404,25599059.404,9809.5,0.0,15036.0,753.559404,0.0,3499,3517,1326,1120,1071,0,0,0,0,0,12530,0.345582,0.3915,0.415031,0.433749,1.128587,3.150683,0.958753,32120,27375,17155
H1,heterogeneous_condition,109,365,76650,76650,0,1.0,20144.64344,20144643.44,7771.0,0.0,11768.4,605.24344,0.0,2817,2823,1174,867,782,0,0,0,0,0,9807,0.33676,0.368861,0.4182,0.468787,0.909119,2.084195,0.968073,32120,27375,17155
H1,heterogeneous_condition,110,365,76650,76650,0,1.0,26633.851574,26633851.574,10259.5,0.0,15589.2,785.151573,0.0,3646,3677,1451,1195,1031,0,0,0,0,0,12991,0.32558,0.357732,0.423224,0.443153,1.167516,3.047173,0.95732,32120,27375,17155
H1,heterogeneous_condition,111,365,76650,76650,0,1.0,19896.160551,19896160.551,7635.5,0.0,11671.2,589.460551,0.0,2711,2721,1022,896,803,0,0,0,0,0,9726,0.343993,0.402164,0.434492,0.456171,0.89138,2.095381,0.967959,32120,27375,17155
H1,heterogeneous_condition,112,365,76650,76650,0,1.0,22562.629983,22562629.983,8688.0,0.0,13209.6,665.029983,0.0,3074,3084,1182,1046,856,0,0,0,0,0,11008,0.337388,0.35975,0.435951,0.460275,0.991605,2.415176,0.963763,32120,27375,17155
H1,heterogeneous_condition,113,365,76650,76650,0,1.0,21962.733031,21962733.031,8452.5,0.0,12864.0,646.233031,0.0,2972,2987,1123,1031,833,0,0,0,0,0,10720,0.33095,0.367679,0.411213,0.489448,0.969895,2.692642,0.964612,32120,27375,17155
H1,heterogeneous_condition,114,365,76650,76650,0,1.0,21986.601208,21986601.208,8492.5,0.0,12837.6,656.501208,0.0,3055,3067,1266,972,829,0,0,0,0,0,10698,0.342296,0.376182,0.417439,0.45785,0.993229,2.252138,0.965091,32120,27375,17155
H1,heterogeneous_condition,115,365,76650,76650,0,1.0,20919.019483,20919019.483,8018.0,0.0,12273.6,627.419483,0.0,2917,2931,1169,850,912,0,0,0,0,0,10228,0.356836,0.392536,0.439634,0.431742,0.935916,2.362907,0.966612,32120,27375,17155
H1,heterogeneous_condition,116,365,76650,76650,0,1.0,22071.582452,22071582.452,8530.0,0.0,12886.8,654.782452,0.0,3034,3040,1224,1028,788,0,0,0,0,0,10739,0.329806,0.352722,0.413366,0.429414,0.95815,1.862636,0.964817,32120,27375,17155
H1,heterogeneous_condition,117,365,76650,76650,0,1.0,21096.900493,21096900.493,8143.5,0.0,12319.2,634.200493,0.0,2957,2966,1243,900,823,0,0,0,0,0,10266,0.320798,0.350127,0.445652,0.424326,0.944106,2.713709,0.966616,32120,27373,17157
H1,heterogeneous_condition,118,365,76650,76650,0,1.0,26093.69745,26093697.45,10060.5,0.0,15274.8,758.39745,0.0,3499,3514,1304,1285,925,0,0,0,0,0,12729,0.331079,0.351011,0.434805,0.457921,1.087549,2.686366,0.957849,32120,27375,17155
H1,heterogeneous_condition,119,365,76650,76650,0,1.0,21858.445048,21858445.048,8361.5,0.0,12860.4,636.545048,0.0,2909,2917,994,1044,879,0,0,0,0,0,10717,0.328402,0.354632,0.453357,0.436994,0.945655,2.343004,0.964338,32120,27375,17155
H1,heterogeneous_condition,120,365,76650,76650,0,1.0,22737.695705,22737695.705,8716.0,0.0,13344.0,677.695705,0.0,3157,3166,1242,948,976,0,0,0,0,0,11120,0.329105,0.360672,0.4306,0.434259,1.001425,2.434457,0.96363,32120,27375,17155
H1,heterogeneous_condition,121,365,76650,76650,0,1.0,23790.600817,23790600.817,9161.0,0.0,13926.0,703.600817,0.0,3266,3278,1284,1072,922,0,0,0,0,0,11605,0.323564,0.348602,0.415865,0.454957,1.021615,3.391484,0.961913,32120,27375,17155
H1,heterogeneous_condition,122,365,76650,76650,0,1.0,22802.598538,22802598.538,8747.5,0.0,13380.0,675.098538,0.0,3130,3138,1198,1001,939,0,0,0,0,0,11150,0.327994,0.355762,0.435618,0.421472,0.996644,2.514645,0.96337,32120,27375,17155
H1,heterogeneous_condition,123,365,76650,76650,0,1.0,23539.023873,23539023.873,9053.0,0.0,13790.4,695.623873,0.0,3235,3239,1257,1056,926,0,0,0,0,0,11492,0.331725,0.379003,0.407428,0.457668,1.029339,2.838985,0.962292,32120,27375,17155
H1,heterogeneous_condition,124,365,76650,76650,0,1.0,23902.35975,23902359.75,9234.5,0.0,13962.0,705.85975,0.0,3274,3288,1310,1113,865,0,0,0,0,0,11635,0.331832,0.348299,0.442107,0.430957,1.036929,2.830429,0.961817,32120,27375,17155
H1,heterogeneous_condition,125,365,76650,76650,0,1.0,22274.307733,22274307.733,8556.5,0.0,13069.2,648.607733,0.0,2965,2974,1048,1097,829,0,0,0,0,0,10891,0.344499,0.37189,0.435439,0.420324,0.973181,3.454216,0.963799,32120,27375,17155
H1,heterogeneous_condition,126,365,76650,76650,0,1.0,21578.932321,21578932.321,8355.5,0.0,12580.8,642.632321,0.0,2976,2989,1234,1000,755,0,0,0,0,0,10484,0.331041,0.374449,0.406643,0.436947,0.944488,2.366325,0.965712,32120,27375,17155
H1,heterogeneous_condition,127,365,76650,76650,0,1.0,21645.741893,21645741.893,8364.0,0.0,12644.4,637.341893,0.0,2939,2942,1141,1053,748,0,0,0,0,0,10537,0.340578,0.356636,0.429685,0.438764,0.942635,2.523655,0.965301,32120,27375,17155
H1,heterogeneous_condition,128,365,76650,76650,0,1.0,20302.725916,20302725.916,7763.5,0.0,11940.0,599.225916,0.0,2748,2755,987,913,855,0,0,0,0,0,9950,0.321404,0.359121,0.438684,0.427093,0.896926,2.281344,0.967105,32120,27375,17155
H1,heterogeneous_condition,129,365,76650,76650,0,1.0,22653.819799,22653819.799,8722.0,0.0,13246.8,685.019799,0.0,3218,3232,1386,890,956,0,0,0,0,0,11039,0.333764,0.355193,0.414299,0.444287,1.00374,2.367916,0.964279,32120,27375,17155
H1,heterogeneous_condition,130,365,76650,76650,0,1.0,21138.782321,21138782.321,8183.0,0.0,12326.4,629.382321,0.0,2926,2931,1211,974,746,0,0,0,0,0,10272,0.352474,0.375186,0.439054,0.466118,0.909215,1.866523,0.966447,32120,27375,17155
H2,heterogeneous_condition,101,365,76650,76650,0,1.0,21866.046982,21866046.982,8504.0,0.0,12710.4,651.646982,0.0,3020,3029,1284,1049,696,0,0,0,0,0,10592,0.311025,0.321807,0.425512,0.396013,0.937723,2.4518,0.965416,32120,27360,17170
H2,heterogeneous_condition,102,365,76650,76650,0,1.0,19934.624913,19934624.913,7724.5,9.6,11608.8,591.724913,0.0,2722,2728,1110,973,645,1,1,0,0,1,9674,0.325061,0.373331,0.431802,0.399494,0.873249,2.345799,0.96826,32120,27365,17165
H2,heterogeneous_condition,103,365,76650,76650,0,1.0,22961.922653,22961922.653,8900.0,0.0,13383.6,678.322653,0.0,3139,3145,1267,1114,764,0,0,0,0,0,11153,0.32008,0.361649,0.399916,0.412228,0.992559,2.718937,0.963397,32120,27363,17167
H2,heterogeneous_condition,104,365,76650,76650,0,1.0,21271.266778,21271266.778,8111.5,0.0,12529.2,630.566778,0.0,2905,2914,1059,904,951,0,0,0,0,0,10441,0.319761,0.37089,0.419113,0.39399,0.94391,2.700947,0.965584,32120,27372,17158
H2,heterogeneous_condition,105,365,76650,76650,0,1.0,23345.408008,23345408.008,9051.5,0.0,13600.8,693.108008,0.0,3215,3232,1342,1095,795,0,0,0,0,0,11334,0.323054,0.358625,0.420413,0.406727,1.020715,2.576161,0.962922,32120,27363,17167
H2,heterogeneous_condition,106,365,76650,76650,0,1.0,23093.144691,23093144.691,8923.0,0.0,13491.6,678.544691,0.0,3125,3137,1211,1124,802,0,0,0,0,0,11243,0.313645,0.338248,0.439965,0.402194,0.982959,2.36643,0.962922,32120,27373,17157
H2,heterogeneous_condition,107,365,76650,76650,0,1.0,21788.907657,21788907.657,8495.5,0.0,12633.6,659.807657,0.0,3094,3103,1422,966,715,0,0,0,0,0,10528,0.313252,0.352922,0.384049,0.429322,0.96149,2.78374,0.966046,32120,27365,17165
H2,heterogeneous_condition,108,365,76650,76650,0,1.0,25834.338315,25834338.315,9897.0,0.0,15175.2,762.138315,0.0,3538,3553,1343,1124,1086,0,0,0,0,0,12646,0.299505,0.338704,0.414832,0.378417,1.128587,3.150683,0.958402,32120,27373,17157
